row_id,company_name,job_title,average_salary,company_age
301,Relativity,Tableau Data Engineer 20-0117,99,19
302,Resurgent Capital Services,Data Engineer,115,22
303,Reynolds American,Senior Scientist - Toxicologist - Product Integrity (Stewardship),142,145
304,Rincon Research Corporation,Computer Scientist 1,107,37
305,Ritedose,Sr Scientist - Extractables & Leachables,99,25
306,Riverside Research Institute,Machine Learning Engineer,97,53
307,Robert Half,Data Scientist,161,72
308,Roche,Senior Principal Data Scientist (Python/R),271,124
309,Rocket Lawyer,Data Engineer,103.6666666666666667,12
310,Royce Geospatial,Data Scientist,161,6
311,Rubius Therapeutics,"Principal Scientist/Associate Director, Quality Control and Analytical Technologies",130.5,7
312,SAIC,Data Scientist,115,7
313,SPECTRUM,Data Scientist,99,4
314,SSATI,Data Scientist,113,17
315,Sage Intacct,Principal Machine Learning Scientist,91.5,21
316,Sandhills Global,Business Intelligence Analyst,103,42
317,Sandia National Laboratories,Hydrogen/Tritium Materials Scientist (Experienced),148,71
318,Sanofi,Data Scientist,107,47
319,Scoop,Senior Data Engineer,115,5
320,Security Finance Corporation of Spartanburg,Report Writer-Data Analyst,92,65
321,Shape Security,Data Engineer,98,9
322,Shelter Insurance,Say Business Data Analyst,133,74
323,ShorePoint,Data Analyst,183,3
324,SleePare,Data Scientist,183,3
325,Smith Hanley Associates,Data Scientist,192.5,40
326,Software Engineering Institute,Machine Learning Engineer,102.5,36
327,Southwest Research Institute,COMPUTER SCIENTIST - ENGINEER - RESEARCH COMPUTER SCIENTIST - SIGNAL PROCESSING,271,73
328,Southwest Research Institute,COMPUTER SCIENTIST - ENGINEER - RESEARCH COMPUTER SCIENTIST - TRANSPORTATION TECHNOLOGY,89,73
329,Southwest Research Institute,ENGINEER - COMPUTER SCIENTIST - RESEARCH COMPUTER SCIENTIST - SIGNAL PROCESSING - SAN ANTONIO OR,150,73
330,Spectrum Communications and Consulting,Data Engineer,148,28
331,Spectrum Communications and Consulting,Data Scientist,123,28
332,Spring Health,Data Scientist,115,4
333,State of Virginia,Data Scientist,183,232
334,Stratagem Group,Machine Learning Engineer,115,13
335,Stripe,"Data Science Manager, Payment Acceptance - USA",105,10
336,Summa Health System,Data Analytics Engineer,103,94
337,Swiss Re,Data Analyst,103,157
338,Systems & Technology Research,Applied Computer Scientist,142,10
339,Systems & Technology Research,Machine Learning Engineer,103,10
340,T. Rowe Price,Equity Data Insights Analyst - Quantitative Analyst,97,83
341,TA Digital,Data Scientist,183,20
342,TACG Solutions,Data Scientist,115,14
343,TBWA\Chiat\Day,Data Scientist,92,52
344,TE Connectivity,Data Scientist,183,13
345,TRANZACT,Data Scientist,136,31
346,Take-Two,Data Scientist,183,27
347,Takeda,Data Scientist,108.5,239
348,TechProjects,Data Scientist,102.5,9
349,Tecolote Research,Data Scientist,115,47
350,Tempo Automation,Senior Data Scientist,99,7
351,Tempus Labs,Computer Vision / Deep Learning Scientist,150,5
352,Tempus Labs,Data & Machine Learning Scientist,74,5
353,Tempus Labs,"Data Scientist, Applied Machine Learning - Bay Area",106,5
354,Tempus Labs,"Machine Learning Scientist - Bay Area, CA",133,5
355,Tempus Labs,Senior Data & Machine Learning Scientist,133,5
356,Tempus Labs,"Senior Machine Learning Scientist - Bay Area, CA",130.6666666666666667,5
357,The Buffalo Group,"Intelligence Data Analyst, Senior",90.5,10
358,The Davey Tree Expert Company,Data Scientist,102.5,140
359,The Knot Worldwide,Data Scientist,106,1
360,The Mom Project,Data Scientist - Image and Video Analytics,97,4
361,The Trade Desk,Data Scientist,92,11
362,ThreeBridge Solutions,Data Scientist,92,11
363,Thumbtack,Senior Data Engineer,89,11
364,Thumbtack,Senior Data Scientist,164,11
365,Tivity Health,Sr Data Engineer (Sr BI Developer),115,39
366,Tokio Marine HCC,Data Scientist,123,46
367,Tower Health,Medical Lab Scientist,154,3
368,Trace Data,Data Scientist,107,20
369,TransVoyant,Data Scientist,114,8
370,Travelers,"Data Engineer (Analytics, SQL, Python, AWS)",101.5,167
371,Trexquant Investment,Data Scientist,43,8
372,Trident Systems Inc,Data Scientist,106,35
373,Triplebyte,Data Scientist,169.5,5
374,Twitch,Senior Data Analyst - Finance & Platform Analytics,139,9
375,Twitter,Product Data Scientist - Ads Data Science,132,14
376,US Pharmacopeia,Data Scientist,120,200
377,USAC,Data Analyst,133,23
378,USI,Data Scientist,74.5,22
379,UST Global,Data Scientist,110,21
380,Underwriters Laboratories,Data Scientist,120,126
381,United BioSource,Sr Data Analyst,133,17
382,Upstart,Data Scientist,99,8
383,VANTA Partners,Data Scientist - Machine Learning,106,2
384,VBeyond Corporation,Data Scientist,183,14
385,Via Transportation,Data Scientist,105.5,8
386,Visionary Integration Professionals,Data Scientist,136,24
387,"Visionist, Inc.",Data Scientist,161,10
388,WGSN,Data Scientist,114,22
389,Werner Enterprises Inc,Data Scientist,106,64
390,Western Digital,Data Engineer - Kafka,88.5,50
391,XPO Logistics,Data Scientist,107,9
392,XSELL Technologies,Data Scientist,126.5,6
393,bioMérieux,Sr Data Scientist,99,57
394,eBay,Data Scientist,120,25
395,hc1,Data Engineer,115,9
396,iRobot,Data Scientist,129.5,30
397,iSeatz,E-Commerce Data Analyst,103,21
398,webfx.com,Jr. Business Data Analyst (position added 6/12/2020),76,23
