job_title,salary_estimate,rating,company_name,location,headquarters,size,ownership_type,industry,sector,revenue,min_salary,max_salary,avg_salary,job_state,same_state,company_age,python,excel,hadloop,spark,aws,tableau,big_data,job_simp,seniority
"Scientist / Group Lead, Cancer Biology",212-331 ,0.0,Monte Rosa Therapeutics,"Cambridge, MA",-1,-1,-1,-1,-1,-1,212,331,271, MA,false,-1,false,true,false,false,false,false,false,na,false
Data Scientist,212-331 ,4.0,Comtech Global Inc,"Washington, DC","Columbus, OH",51 to 200 employees,Company - Private,"Health, Beauty, & Fitness",Consumer Services,$5 to $10 million (USD),212,331,271, DC,false,-1,true,false,true,true,true,true,false,data scientist,false
"Machine Learning Engineer, Sr.",138-158 ,4.2,AeroVironment,"Simi Valley, CA","Simi Valley, CA",501 to 1000 employees,Company - Public,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),138,158,148, CA,true,49,true,true,false,false,true,false,true,mle,false
Data Scientist,80-132 ,3.2,IMG Systems,"Plano, TX","Plano, TX",1 to 50 employees,Company - Private,Consulting,Business Services,$1 to $5 million (USD),80,132,106, TX,true,-1,true,false,false,false,false,false,false,data scientist,false
Data Scientist,212-331 ,3.8,"Aveshka, Inc.","Washington, DC","Arlington, VA",51 to 200 employees,Company - Public,IT Services,Information Technology,$10 to $25 million (USD),212,331,271, DC,false,10,true,true,false,true,false,false,true,data scientist,false
"Manager, Field Application Scientist, Southeast",212-331 ,4.2,10x Genomics,"Raleigh, NC","Pleasanton, CA",501 to 1000 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,212,331,271, NC,false,8,false,true,false,false,false,false,false,manager,false
COMPUTER SCIENTIST - ENGINEER - RESEARCH COMPUTER SCIENTIST - SIGNAL PROCESSING,212-331 ,3.9,Southwest Research Institute,"Dayton, OH","San Antonio, TX",1001 to 5000 employees,Nonprofit Organization,Research & Development,Business Services,$500 million to $1 billion (USD),212,331,271, OH,false,73,true,true,false,false,false,false,false,na,false
Data Scientist,212-331 ,0.0,CompuForce,"New York, NY","New York, NY",Unknown,Company - Private,-1,-1,Unknown / Non-Applicable,212,331,271, NY,true,-1,false,true,true,true,true,false,true,data scientist,false
Data Scientist,212-331 ,4.5,Smith Hanley Associates,"Washington, DC","New York, 061",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,212,331,271, DC,false,40,true,false,false,false,false,false,false,data scientist,false
Scientist - Machine Learning,212-331 ,3.5,Allen Institute,"Seattle, WA","Seattle, WA",201 to 500 employees,Nonprofit Organization,Research & Development,Business Services,$100 to $500 million (USD),212,331,271, WA,true,17,false,false,false,false,false,false,false,mle,false
Data Scientist,212-331 ,2.7,1-800-Flowers,"New York, NY","Carle Place, NY",1001 to 5000 employees,Company - Public,Wholesale,Business Services,$1 to $2 billion (USD),212,331,271, NY,false,44,true,true,false,false,false,true,false,data scientist,false
Data Scientist,212-331 ,3.5,Aptive,"Washington, DC","Alexandria, VA",51 to 200 employees,Company - Private,Consulting,Business Services,$25 to $50 million (USD),212,331,271, DC,false,8,true,true,false,false,false,true,false,data scientist,false
Data Scientist - Image and Video Analytics,66-112 ,4.9,The Mom Project,"Longmont, CO","Chicago, IL",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,66,112,89, CO,false,4,true,false,true,true,true,false,false,data scientist,false
Data Scientist,66-112 ,3.6,Powertek,"Washington, DC","Rockville, MD",51 to 200 employees,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),66,112,89, DC,false,19,false,false,false,false,false,false,false,data scientist,false
Data Scientist,66-112 ,5.0,JCD Staffing,"Washington, DC","Germantown, MD",1 to 50 employees,Company - Private,-1,-1,Unknown / Non-Applicable,66,112,89, DC,false,-1,true,true,false,false,false,true,false,data scientist,false
Data Scientist,66-112 ,3.1,Bayside Solutions,"Sunnyvale, CA","Pleasanton, CA",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),66,112,89, CA,false,19,true,true,false,false,false,true,false,data scientist,false
Senior Data Engineer,66-112 ,3.9,Thumbtack,"San Francisco, CA","San Francisco, CA",501 to 1000 employees,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,66,112,89, CA,true,11,true,true,false,false,true,false,false,data engineer,false
Data Scientist,66-112 ,3.4,"MILVETS Systems Technology, Inc.","Patuxent, Anne Arundel, MD","Orlando, FL",51 to 200 employees,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),66,112,89, MD,false,34,false,true,false,false,false,false,false,data scientist,false
Machine Learning Scientist / Engineer,66-112 ,4.1,Apple,"Santa Clara, CA","Cupertino, CA",10000+ employees,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),66,112,89, CA,false,44,false,false,false,false,false,false,false,mle,false
Data Scientist,66-112 ,4.1,Kforce,"Fairfax, VA","Tampa, FL",10000+ employees,Company - Public,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD),66,112,89, VA,false,54,false,false,false,false,false,false,false,data scientist,false
Sr. Data Scientist,66-112 ,3.5,Evolve Vacation Rental,"Denver, CO","Denver, CO",201 to 500 employees,Company - Private,Travel Agencies,Travel & Tourism,Unknown / Non-Applicable,66,112,89, CO,true,9,true,false,false,false,false,false,false,data scientist,false
"Intelligence Data Analyst, Senior",66-112 ,4.3,The Buffalo Group,"Fort Belvoir, VA","Reston, VA",501 to 1000 employees,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),66,112,89, VA,false,10,true,false,false,false,false,false,false,analyst,false
Data Science Analyst,66-112 ,4.4,OppLoans,"Chicago, IL","Chicago, IL",201 to 500 employees,Company - Private,Lending,Finance,$100 to $500 million (USD),66,112,89, IL,true,8,true,false,false,false,false,false,false,analyst,false
Data Scientist,80-132 ,3.4,Trident Systems Inc,"Fairfax, VA","Fairfax, VA",51 to 200 employees,Company - Private,Aerospace & Defense,Aerospace & Defense,$25 to $50 million (USD),80,132,106, VA,true,35,false,false,false,false,false,false,false,data scientist,false
Data Scientist,80-132 ,4.7,"Tygart Technology, Inc","Washington, DC","Fairmont, WV",1 to 50 employees,Company - Private,-1,-1,$1 to $5 million (USD),80,132,106, DC,false,-1,true,true,true,false,false,false,true,data scientist,false
Senior Data Scientist,87-141 ,4.2,ManTech,"Alexandria, VA","Herndon, VA",5001 to 10000 employees,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),87,141,114, VA,false,52,true,false,true,true,false,true,true,data scientist,false
Data Scientist,66-112 ,3.8,AgreeYa Solutions,"Thousand Oaks, CA","Folsom, CA",1001 to 5000 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),66,112,89, CA,false,21,true,true,false,false,false,false,false,data scientist,false
Data Scientist,66-112 ,3.7,Carolina Power & Light Co,"McLean, VA","Raleigh, NC",5001 to 10000 employees,Subsidiary or Business Segment,Energy,"Oil, Gas, Energy & Utilities",Unknown / Non-Applicable,66,112,89, VA,false,112,true,true,false,false,false,false,true,data scientist,false
COMPUTER SCIENTIST - ENGINEER - RESEARCH COMPUTER SCIENTIST - TRANSPORTATION TECHNOLOGY,66-112 ,3.9,Southwest Research Institute,"San Antonio, TX","San Antonio, TX",1001 to 5000 employees,Nonprofit Organization,Research & Development,Business Services,$500 million to $1 billion (USD),66,112,89, TX,true,73,true,true,false,false,false,false,false,na,false
Data Scientist,66-112 ,3.9,Brillient,"Silver Spring, MD","Reston, VA",501 to 1000 employees,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),66,112,89, MD,false,14,true,true,false,false,false,false,true,data scientist,false
Data Modeler (Analytical Systems),66-112 ,3.7,MassMutual,"Boston, MA","Springfield, MA",5001 to 10000 employees,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),66,112,89, MA,false,169,false,true,true,true,false,false,true,na,false
Data Scientist,66-112 ,2.9,Xator Corporation,"Washington, DC","Reston, VA",501 to 1000 employees,Contract,IT Services,Information Technology,$25 to $50 million (USD),66,112,89, DC,false,-1,false,false,false,false,false,false,false,data scientist,false
Data Scientist,66-112 ,4.6,HAN IT Staffing Inc.,"New York, NY","Totowa, NJ",51 to 200 employees,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,66,112,89, NY,false,8,true,true,false,false,false,false,true,data scientist,false
Data Scientist,66-112 ,3.4,Infinitive Inc,"McLean, VA","Cedar Rapids, IA",201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD),66,112,89, VA,false,23,true,true,true,true,true,false,true,data scientist,false
"Data Engineer (Analytics, SQL, Python, AWS)",66-112 ,4.0,Travelers,"Hartford, CT","Hartford, CT",10000+ employees,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),66,112,89, CT,true,167,true,false,false,true,true,false,true,data engineer,false
Data Scientist 3 (718),128-201 ,3.3,Amyris,"Emeryville, CA","Emeryville, CA",201 to 500 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),128,201,164, CA,true,17,true,false,false,false,true,false,false,data scientist,false
Data Scientist,128-201 ,4.3,Lightspeed Systems,"Austin, TX","Austin, TX",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),128,201,164, TX,true,21,true,false,false,true,true,false,false,data scientist,false
Senior Data Scientist,128-201 ,3.9,Thumbtack,"San Francisco, CA","San Francisco, CA",501 to 1000 employees,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,128,201,164, CA,true,11,true,true,true,true,false,false,false,data scientist,false
